ts,ticker,series,fav_side,fav_price,price_bin,event_cluster_id,mid,ask_close,ask_low,quote,filled,fill_px,settle,pnl,d_mid,volume,lead_h,spread_at_fill
1784811600,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.1,0.11,0.11,0.1,False,,0.0,,-0.010000000000000009,0.0,701.5,0.020000000000000004
1784818800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.09,0.11,0.11,0.1,False,,0.0,,0.04000000000000001,0.0,699.5,0.039999999999999994
1784826000,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.13,0.18,0.11,0.16999999999999998,True,0.16999999999999998,0.0,-0.16999999999999998,-0.0050000000000000044,0.0,697.5,0.09999999999999999
1784829600,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.125,0.17,0.17,0.16,False,,0.0,,0.04000000000000001,0.0,696.5,0.09000000000000001
1784836800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.165,0.26,0.17,0.25,True,0.25,0.0,-0.25,0.01999999999999999,0.0,694.5,0.19
1784840400,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.185,0.22,0.16,0.21,True,0.21,0.0,-0.21,-0.06,0.0,693.5,0.07
1784844000,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.125,0.16,0.16,0.15,False,,0.0,,0.015000000000000013,0.0,692.5,0.07
1784847600,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.14,0.17,0.16,0.16,True,0.16,0.0,-0.16,0.0,0.0,691.5,0.06000000000000001
1784851200,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.14,0.17,0.17,0.16,False,,0.0,,0.004999999999999977,0.0,690.5,0.06000000000000001
1784854800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.145,0.18,0.17,0.16999999999999998,False,,0.0,,-0.05499999999999999,0.0,689.5,0.06999999999999999
1784862000,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.09,0.12,0.12,0.11,False,,0.0,,0.0050000000000000044,0.0,687.5,0.06
1784865600,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.095,0.12,0.12,0.11,False,,0.0,,-0.0050000000000000044,0.0,686.5,0.04999999999999999
1784869200,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.09,0.11,0.11,0.1,False,,0.0,,-0.0049999999999999906,0.0,685.5,0.039999999999999994
1784905200,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.085,0.1,0.1,0.09000000000000001,False,,0.0,,-1.3877787807814457e-17,0.0,675.5,0.03
1784908800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.08499999999999999,0.11,0.1,0.1,True,0.1,0.0,-0.1,0.030000000000000013,0.0,674.5,0.05
1784923200,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.115,0.17,0.11,0.16,True,0.16,0.0,-0.16,0.0050000000000000044,0.0,670.5,0.11000000000000001
1784926800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.12000000000000001,0.14,0.14,0.13,False,,0.0,,0.0049999999999999906,0.0,669.5,0.04000000000000001
1784930400,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.125,0.15,0.14,0.13999999999999999,False,,0.0,,0.0,0.0,668.5,0.04999999999999999
1784937600,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.125,0.15,0.15,0.13999999999999999,False,,0.0,,-0.009999999999999995,0.0,666.5,0.04999999999999999
1784941200,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.115,0.14,0.14,0.13,False,,0.0,,0.0,0.0,665.5,0.05000000000000002
1784962800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.115,0.13,0.13,0.12000000000000001,False,,0.0,,0.0050000000000000044,0.0,659.5,0.03
1784966400,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.12000000000000001,0.14,0.13,0.13,True,0.13,0.0,-0.13,-0.0050000000000000044,0.0,658.5,0.04000000000000001
1784977200,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.115,0.14,0.14,0.13,False,,0.0,,0.0,0.0,655.5,0.05000000000000002
1784991600,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.115,0.14,0.14,0.13,False,,0.0,,0.0,0.0,651.5,0.05000000000000002
1784995200,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.115,0.14,0.14,0.13,False,,0.0,,-0.0050000000000000044,0.0,650.5,0.05000000000000002
1785009600,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.11,0.13,0.13,0.12000000000000001,False,,0.0,,-0.0049999999999999906,0.0,646.5,0.04000000000000001
1785016800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.10500000000000001,0.13,0.13,0.12000000000000001,False,,0.0,,0.0049999999999999906,0.0,644.5,0.05
1785024000,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.11,0.13,0.13,0.12000000000000001,False,,0.0,,0.0050000000000000044,0.0,642.5,0.04000000000000001
